card_id,image_url
ex3-5,https://images.pokemontcg.io/ex3/5_hires.png
pl1-5,https://images.pokemontcg.io/pl1/5_hires.png
pop4-3,https://images.pokemontcg.io/pop4/3_hires.png
bw4-3,https://images.pokemontcg.io/bw4/3_hires.png
ex8-3,https://images.pokemontcg.io/ex8/3_hires.png
dp3-5,https://images.pokemontcg.io/dp3/5_hires.png
swsh4-2,https://images.pokemontcg.io/swsh4/2_hires.png
xy5-4,https://images.pokemontcg.io/xy5/4_hires.png
ex4-3,https://images.pokemontcg.io/ex4/3_hires.png
dv1-5,https://images.pokemontcg.io/dv1/5_hires.png
dp4-3,https://images.pokemontcg.io/dp4/3_hires.png
hgss4-5,https://images.pokemontcg.io/hgss4/5_hires.png
sm75-2,https://images.pokemontcg.io/sm75/2_hires.png
swsh35-4,https://images.pokemontcg.io/swsh35/4_hires.png
swsh1-3,https://images.pokemontcg.io/swsh1/3_hires.png
gym2-4,https://images.pokemontcg.io/gym2/4_hires.png
ex7-4,https://images.pokemontcg.io/ex7/4_hires.png
bw11-3,https://images.pokemontcg.io/bw11/3_hires.png
dp1-3,https://images.pokemontcg.io/dp1/3_hires.png
bw7-3,https://images.pokemontcg.io/bw7/3_hires.png
pl4-3,https://images.pokemontcg.io/pl4/3_hires.png
xy4-3,https://images.pokemontcg.io/xy4/3_hires.png
bw10-4,https://images.pokemontcg.io/bw10/4_hires.png
sm5-3,https://images.pokemontcg.io/sm5/3_hires.png
xy7-4,https://images.pokemontcg.io/xy7/4_hires.png
mcd19-5,https://images.pokemontcg.io/mcd19/5_hires.png
bw6-2,https://images.pokemontcg.io/bw6/2_hires.png
pop7-4,https://images.pokemontcg.io/pop7/4_hires.png
ex9-4,https://images.pokemontcg.io/ex9/4_hires.png
ecard2-H5,https://images.pokemontcg.io/ecard2/H5_hires.png
basep-2,https://images.pokemontcg.io/basep/2_hires.png
base6-3,https://images.pokemontcg.io/base6/3_hires.png
ex10-2,https://images.pokemontcg.io/ex10/2_hires.png
xy11-4,https://images.pokemontcg.io/xy11/4_hires.png
bw1-3,https://images.pokemontcg.io/bw1/3_hires.png
neo4-3,https://images.pokemontcg.io/neo4/3_hires.png
hgss2-2,https://images.pokemontcg.io/hgss2/2_hires.png
hgss1-5,https://images.pokemontcg.io/hgss1/5_hires.png
bw5-3,https://images.pokemontcg.io/bw5/3_hires.png
ru1-4,https://images.pokemontcg.io/ru1/4_hires.png
sm9-5,https://images.pokemontcg.io/sm9/5_hires.png
ex12-5,https://images.pokemontcg.io/ex12/5_hires.png
sm8-2,https://images.pokemontcg.io/sm8/2_hires.png
pop3-3,https://images.pokemontcg.io/pop3/3_hires.png
pop1-3,https://images.pokemontcg.io/pop1/3_hires.png
pop9-3,https://images.pokemontcg.io/pop9/3_hires.png
neo3-2,https://images.pokemontcg.io/neo3/2_hires.png
si1-4,https://images.pokemontcg.io/si1/4_hires.png
pl3-4,https://images.pokemontcg.io/pl3/4_hires.png
base3-5,https://images.pokemontcg.io/base3/5_hires.png
dpp-DP03,https://images.pokemontcg.io/dpp/DP03_hires.png
xy10-2,https://images.pokemontcg.io/xy10/2_hires.png
sm115-4,https://images.pokemontcg.io/sm115/4_hires.png
base1-2,https://images.pokemontcg.io/base1/2_hires.png
sm3-3,https://images.pokemontcg.io/sm3/3_hires.png
xy2-5,https://images.pokemontcg.io/xy2/5_hires.png
ex14-2,https://images.pokemontcg.io/ex14/2_hires.png
det1-5,https://images.pokemontcg.io/det1/5_hires.png
xy1-3,https://images.pokemontcg.io/xy1/3_hires.png
basep-3,https://images.pokemontcg.io/basep/3_hires.png
xy5-5,https://images.pokemontcg.io/xy5/5_hires.png
sm9-6,https://images.pokemontcg.io/sm9/6_hires.png
ex7-5,https://images.pokemontcg.io/ex7/5_hires.png
bw4-4,https://images.pokemontcg.io/bw4/4_hires.png
det1-6,https://images.pokemontcg.io/det1/6_hires.png
xy10-3,https://images.pokemontcg.io/xy10/3_hires.png
pop6-5,https://images.pokemontcg.io/pop6/5_hires.png
pl4-4,https://images.pokemontcg.io/pl4/4_hires.png
ex10-3,https://images.pokemontcg.io/ex10/3_hires.png
ex14-3,https://images.pokemontcg.io/ex14/3_hires.png
base5-3,https://images.pokemontcg.io/base5/3_hires.png
sm5-4,https://images.pokemontcg.io/sm5/4_hires.png
hgss2-3,https://images.pokemontcg.io/hgss2/3_hires.png
bw7-4,https://images.pokemontcg.io/bw7/4_hires.png
dp3-6,https://images.pokemontcg.io/dp3/6_hires.png
